,sub_label,obj_label,subj_anchors
407,raft,"['wooden', 'floating', 'flat', 'built', 'constructed', 'transport', 'sailed', 'square', 'rectangular', 'fun', 'entertaining', 'simple', 'big', 'large', 'strong', 'primitive', 'dangerous', 'raced']","['canoe', 'boat', 'rope']"
408,raisin,"['dried', 'dry', 'small', 'eaten', 'edible', 'brown', 'sweet', 'black', 'healthy', 'soft', 'circular', 'round', 'food']","['chocolate', 'cheese', 'sugar']"
409,rake,"['metal', 'long', 'sharp', 'thin', 'useful']","['boot', 'roll', 'hammer']"
410,raspberry,"['red', 'crimson', 'sweet', 'edible', 'bitter', 'delicious', 'acidic', 'sharp', 'sour', 'eaten', 'small', 'pink', 'grown', 'picked', 'hairy', 'soft', 'food', 'circular', 'round', 'rounded']","['orange', 'tobacco', 'tomato']"
411,rat,"['hairy', 'dirty', 'small', 'common', 'widespread', 'brown', 'fast', 'grey', 'clever', 'intelligent', 'scary', 'wild']","['spider', 'mice', 'squirrel']"
412,rattle,"['noisy', 'loud', 'noise', 'shaken', 'annoying', 'entertaining', 'fun', 'circular', 'round', 'held', 'decorative', 'hollow', 'small']","['roll', 'noise', 'sound']"
413,raven,"['black', 'big', 'large', 'intimidating', 'ominous', 'menacing', 'aggressive', 'alive', 'clever', 'intelligent', 'wise', 'dark', 'noisy', 'loud', 'glossy']","['hawk', 'bird', 'dog']"
414,razor,"['sharp', 'dangerous', 'useful', 'advertised', 'electric', 'thin']","['thread', 'wire', 'knife']"
415,recorder,"['plastic', 'wooden', 'played', 'blown', 'long', 'musical', 'black', 'thin', 'hollow', 'brown', 'white', 'noisy', 'loud', 'taught', 'sizes', 'held']","['piano', 'whistle', 'microphone']"
416,revolver,"['metal', 'fired', 'dangerous', 'fatal', 'black', 'scary', 'small', 'noisy', 'loud', 'heavy', 'shiny']","['knife', 'gun', 'ammunition']"
417,rhino,"['grey', 'big', 'large', 'dangerous', 'endangered', 'white', 'black', 'fat', 'heavy', 'fast', 'fierce', 'rare', 'strong', 'scary', 'aggressive', 'robust', 'solitary', 'wild']","['deer', 'sheep', 'cattle']"
418,rhubarb,"['red', 'sharp', 'bitter', 'acidic', 'sour', 'edible', 'eaten', 'long', 'cooked', 'green', 'grown', 'pink', 'sweet', 'boiled', 'English', 'native', 'big', 'large', 'thin', 'food', 'purple', 'healthy']","['tobacco', 'tomato', 'cotton']"
419,rice,"['food', 'white', 'grain', 'small', 'eaten', 'edible', 'Indian', 'Chinese', 'cooked', 'boiled', 'brown', 'grown', 'healthy', 'plant', 'fried', 'plain']","['vegetables', 'corn', 'wheat']"
420,rifle,"['shot', 'dangerous', 'deadly', 'long', 'heavy', 'strong', 'accurate', 'painful', 'scary', 'thin', 'big', 'large', 'noisy', 'loud', 'held']","['ammunition', 'cannon', 'gun']"
421,robe,"['clothing', 'clothes', 'worn', 'lengthy', 'long', 'warm', 'royal', 'formal', 'ceremonial', 'comfortable', 'flowing', 'tied', 'grand', 'soft', 'large', 'big', 'red', 'loose', 'colours']","['shoes', 'hood', 'trousers']"
422,robin,"['small', 'brown', 'red', 'British', 'cute', 'fat', 'pretty', 'attractive', 'beautiful']","['butterfly', 'squirrel', 'hawk']"
423,rock,"['hard', 'heavy', 'grey', 'solid', 'big', 'large', 'natural', 'outside', 'valuable', 'precious', 'small', 'climbed', 'irregular', 'mined', 'circular', 'colours', 'round', 'rough', 'thrown', 'strong', 'old', 'dangerous', 'angular', 'ancient']","['roll', 'metal', 'steel']"
424,rocket,"['fast', 'big', 'large', 'huge', 'massive', 'noisy', 'loud', 'launched', 'powerful', 'pointed', 'expensive', 'transportation', 'dangerous', 'manned']","['missile', 'bomb', 'missiles']"
425,rollerskate,"['shoes', 'worn', 'entertaining', 'fun', 'funny', 'fast', 'dangerous', 'unstable']","['jumping', 'jump', 'running']"
426,rope,"['tied', 'long', 'strong', 'brown', 'twisted', 'woven', 'thick', 'useful', 'thin', 'tough', 'flexible', 'heavy', 'rough', 'coarse']","['wire', 'nails', 'chains']"
427,rose,"['red', 'pretty', 'attractive', 'beautiful', 'romantic', 'pink', 'white', 'yellow', 'symbolic', 'colours', 'coloured', 'green', 'grown', 'delicate', 'living', 'sharp', 'fragile', 'purple', 'popular', 'alive', 'cream']","['white', 'flowers', 'flower']"
428,ruler,"['straight', 'divisions', 'long', 'thin', 'useful', 'narrow', 'flexible', 'flat', 'small']","['subject', 'head', 'queen']"
429,salmon,"['pink', 'eaten', 'edible', 'delicious', 'smoked', 'caught', 'food', 'cooked', 'alive', 'expensive', 'silver', 'big', 'large', 'healthy', 'Scottish']","['fish', 'bass', 'birds']"
430,sandals,"['worn', 'shoes', 'summer', 'open', 'comfortable', 'clothing', 'cool', 'brown', 'casual', 'nice', 'attractive']","['socks', 'shoes', 'heels']"
431,sandwich,"['bread', 'edible', 'eaten', 'nice', 'food', 'lunch', 'layered', 'triangular', 'sold', 'bought', 'soft', 'popular', 'rectangular', 'square', 'cut', 'cold', 'filling', 'fresh']","['cheese', 'coffee', 'salad']"
432,sardine,"['small', 'eaten', 'edible', 'food', 'healthy', 'sold', 'bought', 'silver', 'grey', 'meat', 'slippery']","['fish', 'oil', 'salt']"
433,satchel,"['educational', 'useful', 'brown', 'fashionable', 'rectangular', 'square', 'heavy', 'worn']","['bag', 'pouch', 'belt']"
434,satsuma,"['orange', 'small', 'sweet', 'eaten', 'edible', 'circular', 'round', 'spherical', 'peeled', 'healthy', 'food']","['weapons', 'fire', 'fish']"
435,saw,"['metal', 'sharp', 'dangerous', 'useful', 'flexible', 'long', 'thin']","['hammer', 'thread', 'knife']"
436,saxophone,"['played', 'musical', 'brass', 'noisy', 'loud', 'golden', 'gold', 'yellow', 'shiny', 'blown', 'curved', 'cool', 'heavy', 'sexy', 'big', 'large']","['guitar', 'piano', 'trumpet']"
437,scallop,"['food', 'eaten', 'edible', 'small', 'delicious', 'good', 'cooked', 'expensive', 'white', 'soft', 'circular', 'round', 'hard', 'aquatic']","['spoon', 'fork', 'cheese']"
438,scalpel,"['metal', 'sharp', 'precise', 'small', 'dangerous', 'pointed', 'silver']","['thread', 'knife', 'needle']"
439,scarf,"['long', 'worn', 'lengthy', 'clothing', 'warm', 'silk', 'fashionable', 'decorative', 'thin', 'soft', 'rectangular', 'square', 'comfortable', 'useful', 'striped', 'cute', 'nice']","['hat', 'skirt', 'cap']"
440,scissors,"['sharp', 'dangerous', 'useful', 'common']","['knives', 'nails', 'blades']"
441,scorpion,"['dangerous', 'poisonous', 'poison', 'black', 'small', 'scary', 'intimidating', 'feared', 'lethal', 'deadly', 'alive', 'brown', 'aggressive', 'dark', 'red', 'vicious']","['butterfly', 'spider', 'snake']"
442,screw,"['metal', 'small', 'pointed', 'sharp', 'useful', 'turned', 'twisted', 'rotated', 'screwed', 'strong', 'cheap', 'long', 'silver', 'thin', 'tightened', 'hard', 'bought', 'sold', 'round', 'circular', 'essential', 'painful']","['thread', 'bolt', 'plug']"
443,screwdriver,"['useful', 'handy', 'long', 'flat', 'rotated', 'turned', 'electric', 'thin', 'electrical', 'powered', 'dangerous']","['screw', 'hammer', 'drill']"
444,scythe,"['sharp', 'curved', 'long', 'archaic', 'old', 'dangerous', 'big', 'large', 'scary', 'swung', 'useful']","['sword', 'hammer', 'knife']"
445,seagull,"['white', 'noisy', 'loud', 'grey', 'big', 'large', 'annoying', 'dirty', 'aggressive', 'black', 'violent']","['seal', 'fish', 'deer']"
446,seahorse,"['small', 'tiny', 'beautiful', 'attractive', 'pretty', 'unusual', 'aquatic', 'upright', 'cute', 'curly', 'mysterious', 'rare', 'endangered', 'underwater', 'brown', 'fragile', 'delicate', 'slow']","['fish', 'seal', 'turtle']"
447,seashell,"['inhabited', 'hard', 'pretty', 'beautiful', 'attractive', 'protective', 'protection', 'small', 'collected', 'colours', 'fragile', 'delicate', 'smooth', 'rough', 'sharp', 'thin', 'natural', 'hollow']","['shells', 'sand', 'fish']"
448,seaweed,"['green', 'vegetation', 'eaten', 'edible', 'underwater', 'brown', 'food', 'slippery', 'healthy', 'types', 'organic', 'red', 'wet']","['algae', 'fish', 'shells']"
449,sellotape,"['sticky', 'clear', 'transparent', 'translucent', 'invisible', 'useful', 'brown', 'sold', 'bought', 'annoying', 'long', 'circular', 'round']","['tobacco', 'cotton', 'silk']"
450,shark,"['dangerous', 'big', 'large', 'deadly', 'lethal', 'predatory', 'scary', 'feared', 'intimidating', 'fast', 'swift', 'grey', 'aggressive']","['fish', 'snake', 'seal']"
451,shawl,"['warm', 'clothing', 'worn', 'feminine', 'draped', 'long', 'decorative', 'fashionable', 'rectangular', 'square', 'light', 'thin', 'triangular', 'pretty', 'attractive', 'beautiful']","['skirt', 'shoes', 'hat']"
452,sheep,"['white', 'stupid', 'silly', 'eaten', 'edible', 'black', 'meat', 'cute', 'food', 'scared', 'soft']","['cattle', 'horses', 'animals']"
453,shield,"['protective', 'defensive', 'big', 'large', 'plastic', 'held', 'hard', 'strong', 'heavy', 'circular', 'round', 'obsolete', 'medieval', 'square', 'rectangular', 'ancient', 'historical', 'armour']","['sword', 'spear', 'armour']"
454,ship,"['big', 'large', 'wooden', 'floating', 'transport', 'cruise', 'heavy', 'long', 'strong']","['cargo', 'boat', 'crew']"
455,shirt,"['cotton', 'clothing', 'worn', 'smart', 'warm', 'formal', 'white', 'business', 'comfortable', 'fashionable', 'fitted', 'plain']","['trousers', 'pants', 'tie']"
456,shoes,"['worn', 'comfortable', 'fashionable', 'expensive', 'warm', 'clothing', 'shiny', 'smart', 'polished', 'fitted', 'designer']","['socks', 'clothing', 'clothes']"
457,shotgun,"['metallic', 'shot', 'dangerous', 'lethal', 'noisy', 'loud', 'wooden', 'long', 'heavy', 'small', 'strong', 'big', 'large', 'American', 'evil', 'bad']","['gun', 'cannon', 'radio']"
458,shrimp,"['small', 'little', 'eaten', 'edible', 'pink', 'marine', 'food', 'delicious', 'clear', 'transparent', 'cooked', 'cute', 'orange', 'numerous', 'white']","['fish', 'shells', 'eggs']"
459,sink,"['ceramic', 'washing', 'white', 'plastic', 'circular', 'round', 'rectangular', 'square', 'filled', 'hard', 'heavy', 'shiny']","['toilet', 'drain', 'shower']"
460,skateboard,"['wooden', 'fast', 'young', 'dangerous', 'transport', 'entertaining', 'fun', 'transportation', 'rolling', 'decorated', 'skilled', 'cool', 'flat', 'long', 'coloured']","['canoe', 'bike', 'rope']"
461,skirt,"['clothing', 'worn', 'short', 'mini', 'long', 'colours', 'fashionable', 'lengths', 'attractive', 'beautiful', 'pretty', 'smart', 'feminine', 'formal', 'sexy', 'circular', 'round', 'cute', 'sexual']","['belt', 'jacket', 'shirt']"
462,skis,"['long', 'thin', 'narrow', 'flat', 'fast', 'curved', 'entertaining', 'fun', 'exciting', 'expensive', 'dangerous', 'flexible', 'hired', 'sleek']","['wheels', 'trucks', 'ropes']"
463,skunk,"['black', 'white', 'hairy', 'striped', 'small', 'disgusting', 'unpopular']","['squirrel', 'rabbit', 'mice']"
464,sledge,"['wooden', 'entertaining', 'fun', 'plastic', 'pulled', 'transport', 'fast', 'smooth', 'long', 'ridden']","['rope', 'cannon', 'wagon']"
465,slippers,"['worn', 'comfortable', 'soft', 'shoes', 'warm', 'protective', 'casual', 'clothing', 'colours']","['shoes', 'socks', 'heels']"
466,slug,"['small', 'slow', 'black', 'brown', 'disgusting', 'fat', 'horrible', 'gross', 'ugly', 'moist', 'eaten', 'grey', 'killed', 'soft', 'edible', 'slippery', 'wet', 'alive', 'living', 'sticky', 'orange', 'long']","['shell', 'ball', 'shot']"
467,snail,"['slow', 'sticky', 'small', 'eaten', 'edible', 'crushed']","['fish', 'spider', 'algae']"
468,sock,"['matching', 'worn', 'clothing', 'colours', 'coloured', 'warm', 'comfortable', 'long', 'soft', 'short', 'lengths', 'plain']","['belt', 'shoe', 'glove']"
469,sofa,"['comfortable', 'furniture', 'big', 'large', 'soft', 'leather', 'heavy']","['chairs', 'chair', 'furniture']"
470,soup,"['liquid', 'food', 'hot', 'eaten', 'edible', 'delicious', 'nice', 'healthy', 'warm', 'chilled', 'cold', 'drunk', 'warming', 'blended', 'thick', 'cheap', 'smooth', 'tomato']","['cheese', 'bread', 'vegetables']"
471,spade,"['useful', 'heavy', 'long', 'held', 'sharp', 'strong', 'big', 'large', 'flat', 'hard', 'muddy']","['hammer', 'sword', 'knife']"
472,spanner,"['useful', 'twist', 'small', 'heavy', 'hard']","['hammer', 'rope', 'sword']"
473,sparrow,"['small', 'brown', 'cute', 'endangered', 'declining', 'British', 'alive', 'living', 'common', 'black', 'prey']","['eggs', 'squirrel', 'sheep']"
474,spatula,"['plastic', 'metal', 'wooden', 'wood', 'flat', 'long', 'flexible', 'thin', 'useful', 'held', 'big', 'large']","['spoon', 'comb', 'fork']"
475,spear,"['pointed', 'sharp', 'long', 'thrown', 'fatal', 'deadly', 'dangerous', 'thin', 'harmful', 'dated', 'old', 'thrust', 'offensive']","['sword', 'knife', 'arrows']"
476,speedboat,"['fast', 'expensive', 'entertaining', 'fun', 'small', 'noisy', 'loud', 'dangerous', 'white', 'ridden', 'transport', 'big', 'electronic', 'electrical', 'large', 'strong', 'light', 'exciting', 'electric', 'lightweight']","['canoe', 'boat', 'fishing']"
477,spider,"['hairy', 'scary', 'feared', 'terrifying', 'poisonous', 'black', 'small', 'fast', 'big', 'large', 'mobile', 'harmless', 'creepy', 'dangerous']","['web', 'butterfly', 'fly']"
478,spinach,"['green', 'vegetation', 'healthy', 'eaten', 'edible', 'delicious', 'cooked', 'food', 'salad', 'disgusting', 'bitter']","['wheat', 'maize', 'corn']"
479,spoon,"['metal', 'circular', 'round', 'rounded', 'shiny', 'reflective', 'useful', 'curved', 'small', 'blunt', 'common', 'long', 'thin', 'silver']","['fork', 'bowl', 'cup']"
480,squirrel,"['red', 'grey', 'small', 'fast', 'cute', 'sweet', 'wild', 'black', 'scary']","['rabbit', 'deer', 'mice']"
481,starling,"['small', 'little', 'black', 'brown', 'spotted', 'common', 'cute', 'noisy', 'loud', 'alive', 'fast', 'eaten', 'edible', 'white', 'living', 'quick']","['children', 'eggs', 'wine']"
482,stick,"['wooden', 'wood', 'long', 'thin', 'slender', 'brown', 'snapped', 'broken', 'thrown', 'dead', 'hard', 'useful', 'straight', 'natural', 'rough', 'thick']","['ball', 'thread', 'string']"
483,stockings,"['worn', 'clothes', 'clothing', 'sexy', 'sexual', 'black', 'long', 'warm', 'silk', 'elastic', 'paired', 'underwear', 'sheer', 'thin', 'light', 'colours', 'sold', 'transparent', 'clear', 'tight', 'bought']","['socks', 'shoes', 'trousers']"
484,stone,"['hard', 'heavy', 'round', 'circular', 'rounded', 'small', 'solid', 'grey', 'dangerous', 'colours', 'smooth', 'thrown', 'polished', 'shiny', 'sizes', 'natural', 'sharp', 'eroded', 'wet', 'large', 'big', 'decorative', 'brown', 'carved']","['wood', 'glass', 'metal']"
485,stool,"['wooden', 'small', 'furniture', 'uncomfortable', 'tall', 'cheap', 'light', 'short', 'useful', 'circular', 'round', 'rectangular', 'square', 'sold', 'bought']","['chairs', 'floor', 'chair']"
486,stove,"['hot', 'gas', 'electric', 'useful', 'black', 'dangerous', 'heavy', 'warm', 'big', 'large', 'hard']","['sink', 'fridge', 'table']"
487,strainer,"['small', 'useful', 'circular', 'round']","['pump', 'brake', 'machine']"
488,strawberry,"['red', 'sweet', 'delicious', 'British', 'edible', 'eaten', 'English', 'picked', 'small', 'grown', 'romantic', 'green', 'firm', 'soft', 'expensive', 'pointed', 'healthy']","['orange', 'grape', 'chocolate']"
489,submarine,"['underwater', 'cramped', 'narrow', 'missiles', 'covert', 'heavy', 'long', 'nuclear', 'sophisticated', 'transport', 'yellow', 'big', 'large', 'expensive']","['missile', 'radar', 'ship']"
490,sugar,"['sweet', 'white', 'brown', 'eaten', 'edible', 'baked', 'sold', 'bought', 'food', 'grown', 'small']","['milk', 'salt', 'butter']"
491,suit,"['smart', 'worn', 'fabric', 'clothing', 'formal', 'masculine', 'black', 'dark', 'expensive', 'fitted', 'professional', 'grey', 'matching', 'tailored', 'pretty', 'attractive', 'beautiful']","['tie', 'hat', 'skirt']"
492,sultana,"['dried', 'dry', 'little', 'small', 'sweet', 'brown', 'delicious', 'eaten', 'edible', 'food', 'healthy', 'soft', 'round', 'moist', 'circular', 'orange', 'soaked', 'black', 'dark']","['pirates', 'weddings', 'drum']"
493,sunflower,"['yellow', 'tall', 'large', 'big', 'brown', 'pretty', 'attractive', 'beautiful', 'bright', 'happy', 'cheerful', 'grown', 'black', 'alive', 'decorative', 'green', 'living']","['tobacco', 'cotton', 'squash']"
494,surfboard,"['long', 'cool', 'flat', 'large', 'big', 'thin', 'narrow', 'hard', 'fun', 'entertaining', 'heavy', 'ridden', 'lightweight', 'oval', 'strong', 'painted', 'light', 'fast', 'tough']","['canoe', 'rope', 'fishing']"
495,swan,"['white', 'vicious', 'fierce', 'aggressive', 'angered', 'elegant', 'graceful', 'protective', 'pretty', 'attractive', 'beautiful', 'big', 'large', 'strong', 'edible', 'eaten', 'black', 'food']","['seal', 'deer', 'swift']"
496,sweater,"['warm', 'clothing', 'worn', 'comfortable', 'soft', 'American', 'fashionable']","['jeans', 'skirt', 'trousers']"
497,swimsuit,"['worn', 'clothing', 'revealing', 'tight', 'bright', 'thin', 'ugly', 'black', 'cold', 'fashionable', 'light', 'lightweight']","['underwear', 'clothing', 'shoes']"
498,swing,"['entertaining', 'fun', 'metal', 'plastic', 'playful', 'suspended', 'pushed', 'dangerous']","['roll', 'jump', 'slide']"
499,sword,"['metal', 'sharp', 'medieval', 'old', 'historical', 'archaic', 'heavy', 'obsolete', 'ancient', 'long', 'lethal', 'pointed', 'deadly', 'dangerous', 'edged', 'silver', 'shiny', 'noble']","['knife', 'spear', 'knives']"
500,sycamore,"['tall', 'green', 'big', 'large', 'brown', 'natural', 'small', 'nature']","['oak', 'cotton', 'orange']"
501,syringe,"['plastic', 'metal', 'sharp', 'dangerous', 'scary', 'useful']","['needle', 'needles', 'thread']"
502,table,"['wooden', 'plastic', 'furniture', 'flat', 'square', 'rectangular', 'circular', 'round', 'rounded', 'big', 'large', 'useful', 'practical', 'sturdy', 'strong', 'small', 'long', 'hard']","['chairs', 'chair', 'seat']"
503,tambourine,"['metallic', 'round', 'circular', 'loud', 'noisy', 'played', 'hit', 'percussion', 'held', 'light', 'lightweight', 'shaken', 'annoying', 'small', 'musical', 'flat', 'portable']","['chocolate', 'cheese', 'sugar']"
504,tangerine,"['orange', 'sweet', 'small', 'peeled', 'eaten', 'edible', 'sour', 'spherical', 'acidic', 'sharp', 'circular', 'round', 'bitter', 'healthy', 'soft', 'grown', 'sold', 'bought']","['tobacco', 'cotton', 'gum']"
505,tank,"['metallic', 'big', 'large', 'massive', 'heavy', 'armoured', 'dangerous', 'green', 'strong', 'driven', 'slow', 'transport', 'protective', 'expensive', 'scary', 'intimidating']","['gun', 'missile', 'ship']"
506,taxi,"['expensive', 'yellow', 'black', 'transport', 'useful', 'helpful', 'handy', 'driven', 'hired', 'fast', 'hailed']","['car', 'van', 'cab']"
507,tea,"['hot', 'drunk', 'brown', 'delicious', 'nice', 'cold', 'soothing', 'liquid', 'relaxing', 'English', 'popular', 'warm', 'loved', 'coloured', 'green', 'fruit', 'bitter', 'grown', 'common', 'comforting', 'disgusting']","['coffee', 'wine', 'milk']"
508,telephone,"['plastic', 'mobile', 'electric', 'electronic', 'electrical', 'useful', 'wireless', 'carried', 'portable', 'modern', 'powered', 'small']","['radio', 'electricity', 'computer']"
509,television,"['electric', 'electrical', 'electronic', 'entertaining', 'entertainment', 'fun', 'watched', 'flat', 'squared', 'square', 'rectangular', 'wires', 'digital', 'expensive', 'black', 'heavy', 'big', 'large', 'common', 'popular', 'bright', 'small', 'noise', 'relaxing', 'colour', 'HD', 'fuzzy', 'noisy']","['radio', 'film', 'print']"
510,tent,"['shelter', 'light', 'lightweight', 'portable', 'carried', 'protective', 'hot', 'cramped', 'green', 'mobile', 'small', 'uncomfortable', 'pointed', 'entertaining', 'fun', 'popular', 'large', 'big', 'exciting', 'cold', 'huge']","['carriage', 'cabin', 'shelter']"
511,termite,"['small', 'brown', 'disgusting', 'gross', 'alive', 'eaten', 'edible', 'living', 'dangerous', 'red', 'white']","['oak', 'rock', 'sand']"
512,textbook,"['educational', 'academic', 'heavy', 'boring', 'dull', 'read', 'useful', 'printed', 'big', 'large', 'hard', 'helpful', 'thick', 'rectangular', 'square']","['books', 'magazine', 'book']"
513,thermometer,"['glass', 'thin', 'narrow', 'slender', 'medical', 'long', 'scientific', 'useful', 'small', 'digital', 'electric', 'clear', 'transparent', 'fragile', 'delicate', 'electronic']","['batteries', 'clock', 'candles']"
514,thimble,"['protection', 'small', 'tiny', 'ceramic', 'hard', 'useful', 'practical', 'silver', 'worn', 'light', 'rough', 'decorated', 'collected', 'dated', 'decorative', 'shiny', 'round', 'circular']","['belt', 'hammer', 'bell']"
515,throne,"['royal', 'golden', 'gold', 'big', 'large', 'grand', 'expensive', 'elaborate', 'decorative', 'heavy', 'old', 'high', 'tall', 'luxurious', 'elevated', 'history', 'important']","['chair', 'seat', 'chairs']"
516,thumb,"['short', 'flexible', 'useful', 'fat', 'small', 'important', 'pink', 'essential', 'sensitive', 'strong', 'unique', 'circular', 'round', 'broken', 'rounded']","['finger', 'fingers', 'nail']"
517,tiger,"['striped', 'orange', 'large', 'big', 'black', 'endangered', 'aggressive', 'fierce', 'vicious', 'dangerous', 'fast', 'attractive', 'pretty', 'beautiful', 'scary', 'lethal', 'wild', 'white', 'strong', 'hunted', 'solitary']","['deer', 'monkey', 'snake']"
518,tights,"['warm', 'worn', 'clothing', 'clothes', 'black', 'thin', 'tight', 'coloured', 'clear', 'transparent', 'translucent', 'long', 'nude', 'sexy', 'tan', 'grey', 'comfortable', 'annoying', 'damaged']","['trousers', 'socks', 'jeans']"
519,toad,"['green', 'aquatic', 'brown', 'ugly', 'small', 'moist', 'alive', 'grey', 'living']","['rabbit', 'squirrel', 'beetle']"
520,toaster,"['electric', 'electrical', 'electronic', 'heating', 'hot', 'small', 'useful', 'practical', 'white']","['fridge', 'kitchen', 'coffee']"
521,tobacco,"['smoked', 'brown', 'burnt', 'dried', 'dry', 'lit', 'grown', 'harmful', 'cultivated', 'lethal', 'poisonous', 'rolled', 'popular', 'expensive', 'dangerous', 'consumed', 'toxic']","['alcohol', 'wine', 'sugar']"
522,toe,"['small', 'useful', 'broken', 'short', 'ugly', 'hairy', 'flexible', 'pink']","['foot', 'heel', 'fingers']"
523,toilet,"['ceramic', 'flushed', 'useful', 'white', 'necessary', 'essential', 'dirty', 'small', 'circular', 'round', 'noisy', 'loud']","['bathroom', 'toilets', 'shower']"
524,tomato,"['red', 'circular', 'round', 'spherical', 'eaten', 'grown', 'cultivated', 'edible', 'small', 'green', 'sweet', 'soft', 'cooked', 'large', 'big', 'orange', 'popular', 'healthy', 'food', 'sour', 'sharp', 'acidic']","['vegetables', 'beans', 'cheese']"
525,tongs,"['metal', 'useful', 'long', 'thin', 'heated']","['drums', 'sticks', 'knives']"
526,tongue,"['pink', 'red', 'wet', 'moist', 'flexible', 'long', 'sensitive', 'kiss', 'rough', 'soft', 'strong', 'kissing', 'bitten', 'rolled', 'pointed']","['teeth', 'lips', 'mouth']"
527,tortoise,"['slow', 'green', 'hard', 'cute', 'big', 'large', 'giant', 'huge', 'brown', 'endangered', 'small', 'heavy', 'old', 'scared', 'circular', 'round']","['lizard', 'snake', 'rabbit']"
528,tractor,"['slow', 'big', 'large', 'driven', 'noisy', 'loud', 'strong', 'useful', 'agricultural', 'expensive', 'muddy', 'red', 'transport']","['trailer', 'trucks', 'wagon']"
529,train,"['transport', 'fast', 'big', 'large', 'driven', 'late', 'long', 'expensive', 'noisy', 'loud', 'steam', 'powered', 'convenient', 'useful']","['car', 'bridge', 'air']"
530,tray,"['flat', 'plastic', 'metal', 'rectangular', 'square', 'useful', 'handy', 'practical', 'circular', 'round', 'hard', 'light', 'rigid']","['cup', 'table', 'plate']"
531,tricycle,"['ridden', 'stable', 'transport', 'safe', 'small', 'slow', 'unstable', 'entertaining', 'fun']","['bike', 'car', 'horse']"
532,tripod,"['stable', 'carried', 'useful', 'portable', 'helpful', 'light', 'long', 'strong', 'lightweight', 'sturdy']","['antenna', 'cable', 'keyboard']"
533,trolley,"['pushed', 'big', 'large', 'heavy', 'useful', 'noisy', 'loud']","['car', 'wagon', 'electric']"
534,trombone,"['brass', 'noisy', 'loud', 'played', 'shiny', 'big', 'large', 'blown', 'long', 'golden', 'heavy', 'gold', 'expensive', 'silver', 'deep']","['trumpet', 'percussion', 'bass']"
535,trousers,"['clothing', 'worn', 'long', 'practical', 'varieties', 'comfortable', 'flared', 'short', 'smart']","['shoes', 'socks', 'underwear']"
536,trout,"['eaten', 'edible', 'freshwater', 'caught', 'food', 'big', 'large', 'grey', 'silver', 'alive', 'green', 'long', 'rainbow', 'living']","['bass', 'fish', 'deer']"
537,trowel,"['small', 'little', 'pointed', 'sharp', 'useful', 'sold', 'bought', 'hard', 'triangular', 'held']","['thread', 'rope', 'hammer']"
538,truck,"['big', 'large', 'logistics', 'driven', 'heavy', 'noisy', 'loud', 'long', 'transport']","['trailer', 'car', 'vehicle']"
539,trumpet,"['brass', 'noisy', 'loud', 'played', 'musical', 'shiny', 'blown', 'golden', 'gold', 'muted', 'heavy']","['drums', 'percussion', 'piano']"
540,tuba,"['brass', 'deep', 'low', 'metal', 'noisy', 'loud', 'big', 'large', 'played', 'heavy', 'shiny', 'musical', 'golden', 'gold', 'blown']","['trumpet', 'bass', 'piano']"
541,tugboat,"['small', 'strong', 'big', 'large', 'slow', 'useful', 'noisy', 'loud']","['boat', 'ship', 'canoe']"
542,tulip,"['bright', 'pretty', 'attractive', 'beautiful', 'smelling', 'Dutch', 'coloured', 'grown', 'long', 'planted', 'given', 'tall', 'red']","['rose', 'orange', 'oak']"
543,tuna,"['eaten', 'edible', 'marine', 'delicious', 'large', 'big', 'aquatic', 'silver', 'endangered', 'sold', 'meat', 'food', 'fast', 'quick', 'healthy', 'small', 'fresh', 'blue', 'alive', 'living', 'cooked']","['fish', 'vegetables', 'cheese']"
544,turkey,"['eaten', 'edible', 'meat', 'big', 'large', 'fat', 'food', 'black', 'bred', 'stuffed', 'raised', 'ugly', 'cooked']","['chicken', 'corn', 'pork']"
545,turnip,"['underground', 'white', 'eaten', 'edible', 'circular', 'round', 'grown', 'purple', 'cooked', 'hard', 'food', 'boiled', 'harvested', 'long', 'soft', 'English']","['cotton', 'squash', 'tobacco']"
546,turtle,"['marine', 'slow', 'green', 'aquatic', 'freshwater', 'endangered', 'old', 'rare', 'big', 'large', 'shy', 'alive', 'graceful', 'living']","['fish', 'bird', 'deer']"
547,tweezers,"['metal', 'sharp', 'small', 'pointed', 'useful', 'detailed', 'precise', 'thin', 'long', 'painful', 'held', 'blunt', 'cheap', 'shiny', 'inexpensive']","['knives', 'needles', 'nails']"
548,typewriter,"['metal', 'old', 'obsolete', 'noisy', 'loud', 'heavy', 'slow', 'big', 'large', 'electric', 'manual', 'electronic', 'difficult']","['keyboard', 'computer', 'radio']"
549,tyre,"['circular', 'round', 'black', 'burnt', 'pumped', 'strong', 'big', 'large', 'sturdy', 'flexible', 'heavy', 'sold', 'bought']","['wheel', 'clutch', 'brake']"
550,umbrella,"['useful', 'helpful', 'collapsed', 'protective', 'protection', 'carried', 'portable', 'round', 'circular', 'small', 'light', 'big', 'large', 'long', 'black', 'wide', 'annoying']","['hat', 'cap', 'net']"
551,unicycle,"['metal', 'ridden', 'transport', 'funny', 'silly', 'unstable', 'entertaining', 'fun']","['bike', 'car', 'horse']"
